,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
5,1688630400.0,30788.5,31359.9,30773.4,31321.1,19208.935,597430290.993,2023-07-06 08:00:00,6.954e-05,-0.000165,61558.811,78.65,30830.75,30410.79,30620.77,31040.73,30200.81,31250.71,29990.83,52.25,-36.71,88.97,41.55,11.7,33.03,36.82,3969.535642857143,1082.16,-700.3299999999981,490.09,23.67,30623.57,30922.88,-280.369999999999,-1120.2899999999972,-398.2199999999975,-697.5299999999988,8.650000000000006,48.650000000000006,29.849999999999998,88.96000000000001,839.9199999999983,PositionState,upper,31321.1,30586.4,0.0,-734.6999999999971,0.0,-734.6999999999971,-320.67999999999813,0,-103.56000000000131
70,1688864400.0,30321.1,30389.0,30280.3,30314.9,2409.79,73122033.7056,2023-07-09 01:00:00,5.799e-05,-0.000532,59756.658,57.99,30280.86,30173.24,30227.05,30334.66,30119.44,30388.47,30065.63,6.29,-10.14,16.44,29.4,19.6,11.0,10.36,1529.224,40.97,-87.85000000000218,47.77,6.5,30217.18,30281.24,19.7599999999984,-195.46000000000276,-33.659999999999854,-97.72000000000116,-12.009999999999998,27.990000000000002,9.799999999999997,16.43,215.22000000000116,PositionState,upper,30314.9,30251.3,0.0,-63.60000000000218,4.899999999997817,-65.40000000000146,-41.89230769230898,0,-9.640000000003056
112,1689015600.0,30514.7,30820.0,30474.3,30818.3,12624.458,387023767.8156,2023-07-10 19:00:00,7.674e-05,-0.00046,62918.501,77.2,30469.69,30112.17,30290.93,30648.45,29933.41,30827.21,29754.65,82.88,20.68,62.19,35.43,10.59,21.51,22.11,4125.754,800.28,-527.369999999999,352.25,19.05,30343.81,30551.25,-169.84999999999854,-884.8899999999994,-267.0499999999993,-474.48999999999796,7.200000000000003,47.2,24.84,62.199999999999996,715.0400000000009,PositionState,upper,30818.3,30288.1,0.0,-530.2000000000007,0.0,-530.2000000000007,-196.23333333333358,0,-55.20999999999913
181,1689264000.0,30905.8,30954.0,30703.0,30812.8,14876.042,458738753.8165,2023-07-13 16:00:00,-9.45e-06,-0.000342,63292.319,63.97,30712.33,30372.15,30542.24,30882.42,30202.06,31052.51,30031.97,66.48,11.38,55.1,34.48,10.82,22.57,20.75,6909.869071428571,1006.57,-270.5599999999977,200.91,12.52,30607.42,30743.61,69.61999999999898,-610.739999999998,-69.18999999999869,-205.38000000000102,-6.030000000000001,33.97,23.659999999999997,55.1,680.359999999997,PositionState,upper,30812.8,31088.0,0.0,275.2000000000007,787.2000000000007,0.0,491.8875000000007,0,497.41999999999825
252,1689519600.0,30387.8,30414.4,30359.0,30364.8,1171.595,35601036.1722,2023-07-16 15:00:00,0.0001,-0.000444,63013.764,56.63,30347.0,30243.56,30295.28,30398.73,30191.84,30450.45,30140.12,-7.44,-31.9,24.46,27.08,18.8,24.29,26.72,1976.6260714285722,31.6,-69.52000000000044,41.29,10.38,30301.55,30340.37,33.93000000000029,-172.95999999999913,-24.43000000000029,-63.25,-13.369999999999997,26.630000000000003,8.279999999999998,24.459999999999997,206.88999999999942,PositionState,upper,30364.8,30262.0,0.0,-102.79999999999927,4.400000000001455,-102.79999999999927,-28.424999999999272,0,-23.11999999999898
339,1689832800.0,30120.4,30199.8,30075.0,30106.7,4169.99,125644336.2657,2023-07-20 06:00:00,6.37e-06,-0.000339,66396.00199999,58.55,30055.0,29904.85,29979.93,30130.08,29829.77,30205.16,29754.69,20.86,4.0,16.85,24.87,15.81,12.4,13.53,2610.5211428571433,152.22,-126.77000000000044,66.81,9.61,29976.61,30053.57,23.38000000000102,-276.9300000000003,-53.13000000000102,-130.09000000000015,-11.450000000000003,28.549999999999997,9.06,16.86,300.3100000000013,PositionState,upper,30106.7,29760.1,0.0,-346.6000000000022,207.5,-346.6000000000022,69.15555555555491,0,-13.829999999998108
376,1689966000.0,29964.9,29965.0,29750.2,29861.1,4968.144,148304064.0421,2023-07-21 19:00:00,-9.73e-06,-0.000427,64617.063,50.29,29906.95,29792.68,29849.81,29964.08,29735.54,30021.21,29678.41,-2.33,-20.96,18.63,22.81,25.16,19.44,23.62,2465.314857142858,233.06,-11.289999999997235,30.18,-4.76,29851.81,29884.62,102.9800000000032,-125.55999999999767,23.520000000000437,-9.289999999997235,-19.71,20.29,-2.3500000000000014,18.630000000000003,228.54000000000087,PositionState,upper,29861.1,29870.0,0.0,8.900000000001455,111.40000000000146,0.0,36.12000000000116,0,8.710000000002765
423,1690135200.0,30101.6,30278.0,30056.4,30225.8,8530.351,257287027.1583,2023-07-23 18:00:00,4.184e-05,-0.000591,62617.085,78.34,30032.39,29831.96,29932.17,30132.61,29731.74,30232.82,29631.52,51.29,20.16,31.12,43.26,11.51,15.63,15.49,2111.259928571429,506.65,-293.630000000001,181.79,21.46,29951.91,30081.41,-93.18999999999869,-494.0599999999977,-144.38999999999942,-273.8899999999994,8.340000000000003,48.34,31.75,31.13,400.869999999999,PositionState,upper,30225.8,29934.2,0.0,-291.59999999999854,0.0,-291.59999999999854,-134.0749999999989,0,-48.159999999999854
491,1690380000.0,29287.6,29341.6,29191.3,29256.5,4106.807,120182156.7171,2023-07-26 14:00:00,8.84e-05,-0.000448,66556.247,54.06,29249.19,29169.73,29209.46,29288.92,29130.0,29328.65,29090.27,4.7,-4.14,8.84,30.6,11.96,28.14,25.75,2259.973357142858,147.32,-47.04000000000087,14.21,4.73,29207.86,29240.42,32.419999999998254,-126.5,-16.080000000001746,-48.63999999999942,-15.939999999999998,24.060000000000002,18.64,8.84,158.91999999999825,PositionState,upper,29256.5,29330.3,0.0,73.79999999999927,303.5,-0.7999999999992724,146.45199999999997,0,167.19000000000233
540,1690556400.0,29472.9,29545.8,29336.0,29373.6,9320.811,274364307.2144,2023-07-28 15:00:00,1.787e-05,-0.000395,68108.422,58.03,29345.97,29184.66,29265.32,29426.62,29104.01,29507.27,29023.36,11.86,-17.69,29.55,30.23,12.9,21.16,22.69,3377.751142857144,595.74,-108.27999999999884,96.73,11.79,29253.2,29352.43,53.02000000000044,-269.59000000000015,-21.169999999998254,-120.39999999999782,-11.969999999999999,28.03,17.33,29.55,322.6100000000006,PositionState,upper,29373.6,29245.6,0.0,-128.0,0.0,-128.0,-54.39999999999903,0,-46.099999999998545
