,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
0,6,136,1693987200000.0,25710.7,25747.0,25710.7,25737.4,896.856,23073901.9018,2023-09-06 08:00:00,6.42e-06,-0.00059846,59986.397,48.01,25786.72,25713.69,25750.2,25823.23,25677.18,25859.74,25640.67,-5.79,-5.89,0.09,18.1,15.85,11.26,13.8,963.7070714285716,-15.76,12.799999999999272,-14.31,-1.27,25762.21,25735.1,85.82999999999811,-60.22000000000117,-2.3000000000029104,24.80999999999767,-21.99,18.009999999999998,2.2500000000000018,0.0999999999999996,146.04999999999927,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
1,7,137,1693990800000.0,25737.4,25761.5,25702.2,25737.1,1194.548,30737052.3852,2023-09-06 09:00:00,6.42e-06,-0.00049623,59920.947,47.98,25785.2,25712.71,25748.96,25821.44,25676.47,25857.69,25640.22,-6.24,-5.96,-0.28,18.48,14.91,11.22,13.51,965.9345,2.22,11.860000000000582,-8.12,0.63,25755.62,25736.1,84.34000000000015,-60.62999999999738,-1.0,18.52000000000044,-22.020000000000003,17.979999999999997,3.5700000000000003,-0.2800000000000002,144.96999999999753,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
2,8,138,1693994400000.0,25737.1,25763.4,25703.2,25714.6,1560.577,40162032.246,2023-09-06 10:00:00,6.42e-06,-0.00048684,59931.383,45.47,25781.39,25709.98,25745.68,25817.1,25674.27,25852.81,25638.56,-8.32,-6.43,-1.88,17.55,14.0,11.22,13.04,960.3316428571428,-5.6,31.080000000001743,-3.93,0.35,25749.2,25725.35,102.5,-40.32999999999811,10.75,34.60000000000218,-24.53,15.47,3.5500000000000007,-1.8900000000000008,142.8299999999981,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
3,9,139,1693998000000.0,25714.6,25755.9,25709.0,25722.9,1416.547,36451666.2929,2023-09-06 11:00:00,6.42e-06,-0.00043496,60195.333,46.58,25779.53,25707.49,25743.51,25815.55,25671.47,25851.58,25635.45,-9.19,-6.98,-2.2,16.69,13.32,11.22,12.56,996.9869285714284,36.65,20.609999999996944,-3.09,-1.1,25736.48,25724.12,92.64999999999782,-51.43000000000029,1.2199999999975262,13.579999999998108,-23.42,16.58,3.370000000000001,-2.209999999999999,144.0799999999981,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
4,10,140,1694001600000.0,25722.9,25735.1,25680.0,25702.4,1916.509,49262628.046,2023-09-06 12:00:00,6.42e-06,-0.00042371,60139.474,44.19,25776.72,25702.47,25739.6,25813.85,25665.34,25850.98,25628.21,-11.4,-7.87,-3.53,15.73,15.6,10.45,11.87,1094.8737142857142,97.88,37.19999999999709,2.88,-4.09,25729.1,25713.26,111.44999999999708,-37.06000000000131,10.859999999996944,26.69999999999709,-25.81,14.189999999999998,0.1300000000000007,-3.53,148.5099999999984,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
5,11,141,1694005200000.0,25702.4,25777.2,25676.5,25730.6,3457.623,88914999.0515,2023-09-06 13:00:00,6.42e-06,-0.00049768,60649.732,48.13,25775.94,25701.54,25738.74,25813.14,25664.34,25850.34,25627.13,-10.76,-8.45,-2.31,18.39,14.0,10.67,11.82,1285.434857142857,190.56,8.140000000003056,-1.4,3.29,25727.94,25721.93,82.54000000000087,-66.2599999999984,-8.669999999998254,-2.6599999999998545,-21.87,18.130000000000003,4.390000000000001,-2.3100000000000005,148.79999999999927,0,0,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
6,12,142,1694008800000.0,25730.6,25730.6,25518.4,25607.4,10997.331,281726308.2011,2023-09-06 14:00:00,6.42e-06,-0.00033842,61059.728,36.12,25773.5,25678.96,25726.23,25820.78,25631.68,25868.05,25584.41,-19.96,-10.75,-9.2,14.93,25.4,11.76,12.14,2001.2645,715.82,118.82999999999812,39.59,-12.2,25713.74,25664.66,213.37999999999735,24.27999999999884,57.2599999999984,106.34000000000016,-33.88,6.119999999999997,-10.47,-9.21,189.09999999999852,EntryPreparationState,lower,25574.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2741.955
7,13,143,1694012400000.0,25607.4,25654.1,25532.5,25574.0,3856.939,98739688.1067,2023-09-06 15:00:00,6.42e-06,-0.00055158,61327.259,33.67,25768.94,25654.52,25711.73,25826.15,25597.31,25883.36,25540.1,-29.6,-14.52,-15.08,13.37,22.75,12.78,12.73,2219.4262857142853,218.16,137.72999999999956,47.38,-2.37,25693.01,25619.33,252.15000000000143,23.31000000000131,45.33000000000175,119.0099999999984,-36.33,3.6700000000000017,-9.38,-15.080000000000002,228.84000000000012,PositionState,lower,25574.0,25846.3,0.0,-272.2999999999993,0.0,-272.2999999999993,-95.09999999999977,0,-105.39999999999782,2741.955
8,77,207,1694242800000.0,25868.7,25880.0,25858.0,25870.7,721.12,18654504.9239,2023-09-09 07:00:00,4.74e-05,-0.00050485,59209.382,47.29,25917.46,25852.23,25884.84,25950.07,25819.61,25982.69,25787.0,-25.69,-28.18,2.49,16.78,23.5,22.49,29.0,899.3425714285714,-98.54,14.139999999999418,-4.29,0.64,25863.26,25864.01,79.36999999999898,-51.09000000000015,-6.690000000002328,-7.440000000002328,-22.71,17.29,-6.719999999999999,2.4899999999999984,130.45999999999913,0,0,25835.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2383.132
9,78,208,1694246400000.0,25870.7,25892.3,25856.2,25860.0,988.893,25583816.3946,2023-09-09 08:00:00,4.25e-06,-0.0004189,59115.269,46.18,25914.96,25849.99,25882.48,25947.45,25817.5,25979.93,25785.02,-24.43,-27.43,3.0,17.39,22.67,21.82,27.98,877.7945714285714,-21.54,22.479999999999563,-2.62,2.16,25859.16,25862.0,87.45000000000073,-42.5,2.0,-0.8400000000001455,-23.82,16.18,-5.280000000000001,3.0,129.95000000000073,0,0,25835.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2383.132
