,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
12,2020-08-25 16:00:00,11438.5,11452.0,11125.0,11305.5,3788.401,42829767.5055,2020-08-25 16:00:00,0.0001,0.001192,4941.05199999,29.55,11745.29,11515.88,11630.59,11860.0,11401.17,11974.71,11286.46,-59.27,-30.14,-29.13,10.96,40.88,24.37,27.14,1068.3037142857142,214.72,325.09000000000015,107.97,-11.02,11636.22,11463.24,554.5,95.67000000000007,157.73999999999978,330.71999999999935,-40.45,-0.4499999999999993,-29.92,-29.130000000000003,458.8299999999999,PositionState,lower,11305.5,11472.0,0.0,-166.5,55.5,-175.0,-70.97058823529412,0,59.95999999999913,None
59,2020-09-02 12:00:00,11415.5,11491.0,11214.0,11346.0,1716.181,19471789.626,2020-09-02 12:00:00,0.00077836,0.001711,4050.696,35.52,11859.73,11517.69,11688.71,12030.75,11346.66,12201.78,11175.64,14.94,67.28,-52.33,14.52,37.65,20.54,18.89,1411.5565714285715,93.37,342.7099999999991,79.63,-2.76,11789.61,11537.6,684.75,0.6599999999998545,191.60000000000036,443.6100000000006,-34.48,5.520000000000003,-23.13,-52.34,684.0900000000001,PositionState,lower,11346.0,10378.0,0.0,968.0,1385.0,-60.5,864.4848484848485,0,1302.5100000000002,None
95,2020-09-08 12:00:00,9990.5,10150.0,9925.5,10098.0,3058.949,30889267.002,2020-09-08 12:00:00,0.0001,0.000265,3573.706,40.74,10367.51,10159.55,10263.53,10471.49,10055.56,10575.47,9951.58,-150.79,-184.47,33.67,10.99,33.01,53.06,54.73,1241.3574285714287,126.21,165.53000000000065,-60.48,-0.52,10166.94,10133.85,373.4899999999998,-42.44000000000051,35.850000000000364,68.94000000000051,-29.259999999999998,10.740000000000002,-22.019999999999996,33.68000000000001,415.9300000000003,PositionState,lower,10098.0,10222.5,0.0,-124.5,102.0,-124.5,-11.5,0,-25.539999999999054,None
173,2020-09-21 12:00:00,10630.0,10633.0,10283.5,10420.5,3168.426,33016583.133,2020-09-21 12:00:00,-0.00016789,-0.000149,5135.242,29.3,11002.66,10696.58,10849.62,11155.7,10543.54,11308.74,10390.5,-37.17,23.5,-60.68,14.76,44.5,22.53,25.15,919.3579285714286,216.6,429.1200000000008,221.36,-16.13,10822.5,10646.93,735.2000000000007,123.04000000000087,226.4300000000003,402.0,-40.7,-0.6999999999999993,-29.740000000000002,-60.67,612.1599999999999,PositionState,lower,10420.5,10530.5,0.0,-110.0,186.5,-110.0,1.605263157894737,0,222.3700000000008,None
238,2020-10-02 08:00:00,10499.0,10499.5,10392.0,10453.0,1030.035,10766955.855,2020-10-02 08:00:00,-0.00014436,0.0016,5486.088,34.55,10780.34,10576.56,10678.45,10882.23,10474.67,10984.12,10372.78,-45.32,-9.83,-35.48,16.09,34.57,19.0,17.25,1018.4980000000002,41.47,225.45000000000073,84.05,-1.94,10667.61,10537.32,429.22999999999956,21.670000000000073,84.31999999999971,214.61000000000058,-35.45,4.549999999999997,-18.48,-35.49,407.5599999999995,PositionState,lower,10453.0,10605.5,0.0,-152.5,0.0,-152.5,-87.20833333333333,0,-32.92000000000007,None
568,2020-11-26 08:00:00,17657.5,17657.5,16350.0,17121.0,19303.563,330496302.123,2020-11-26 08:00:00,0.00022801,0.000987,7452.348,30.43,19034.21,17908.83,18471.52,19596.9,17346.14,20159.59,16783.45,-100.33,113.48,-213.81,13.14,44.8,20.87,20.92,7424.896500000001,1155.24,1350.5200000000004,467.01,-12.67,18523.88,17759.12,2475.9000000000015,225.13999999999942,638.119999999999,1402.880000000001,-39.57,0.4299999999999997,-31.659999999999997,-213.81,2250.760000000002,PositionState,lower,17121.0,17500.0,0.0,-379.0,611.0,-379.0,137.10714285714286,0,528.3099999999977,None
641,2020-12-08 12:00:00,18774.0,18967.0,18625.0,18812.5,2472.95,46522371.875,2020-12-08 12:00:00,0.0001,-0.000136,7234.858,42.92,19227.99,18932.67,19080.33,19375.66,18785.01,19523.32,18637.35,-15.59,35.0,-50.59,12.31,25.86,15.25,14.44,1638.3607857142856,113.97,267.83000000000175,16.45,-2.23,19085.44,18927.18,563.1599999999999,-27.4900000000016,114.68000000000029,272.9399999999987,-27.08,12.920000000000002,-13.549999999999999,-50.59,590.6500000000015,PositionState,lower,18812.5,18264.5,0.0,548.0,1165.0,0.0,588.5227272727273,0,830.9700000000012,None
843,2021-01-11 04:00:00,35407.5,35945.0,32631.5,34376.0,19094.694,656399200.944,2021-01-11 04:00:00,0.00127972,0.000907,5928.38,35.13,40093.96,36448.25,38271.11,41916.82,34625.39,43739.68,32802.54,40.39,937.67,-897.27,10.52,27.66,25.92,28.14,6931.667214285713,712.99,3895.1100000000006,2069.73,-3.9,38431.22,36157.64,7540.82,249.38999999999942,1781.6399999999994,4055.220000000001,-34.87,5.130000000000003,-17.14,-897.28,7291.43,PositionState,lower,34376.0,36036.0,0.0,-1660.0,2818.0,-2103.5,-78.5625,0,1005.5400000000009,None
899,2021-01-20 12:00:00,34425.5,35118.5,34039.0,34203.0,4655.597,159235384.191,2021-01-20 12:00:00,0.00201124,0.001175,5326.254,37.74,36773.49,35058.72,35916.11,37630.88,34201.34,38488.26,33343.95,-385.21,-159.7,-225.5,12.64,24.76,16.86,18.43,3029.5800000000004,150.41,1713.1100000000006,202.36,-0.78,35947.0,34829.08,3427.8799999999974,-1.6600000000034925,626.0800000000017,1744.0,-32.26,7.740000000000002,-12.120000000000001,-225.51,3429.540000000001,PositionState,lower,34203.0,33564.5,0.0,638.5,3364.5,-1271.0,1308.892857142857,0,2519.9300000000003,None
1102,2021-02-23 08:00:00,49689.5,50027.0,44949.0,46413.5,22244.602,1032449834.927,2021-02-23 08:00:00,0.00040759,0.001455,4944.81,25.62,56310.61,50658.86,53484.74,59136.49,47832.99,61962.36,45007.12,-768.06,426.39,-1194.46,10.73,46.0,38.19,38.0,7167.039,1429.61,7071.239999999998,3679.16,-8.74,52893.11,49683.5,12722.989999999998,1419.489999999998,3270.0,6479.610000000001,-44.379999999999995,-4.379999999999999,-35.269999999999996,-1194.4499999999998,11303.5,PositionState,lower,46413.5,50879.5,0.0,-4466.0,876.0,-4466.0,-2957.1785714285716,0,-769.4199999999983,None
